split,session,gesture,feature_version,feature_index,feature_name,count,mean,std,min,q25,median,q75,max
train,session_01,IDLE,features-v1,1,std_ax,120,0.0021737042377935724,0.0004649698175260493,0.0017972587374970317,0.0020105420844629407,0.0020979363471269608,0.0022140844957903028,0.0066587612964212894
train,session_01,IDLE,features-v1,2,max_abs_ax,120,0.01024500011311223,0.0024439671438067044,0.007199999876320362,0.009200000204145908,0.00989999994635582,0.010700000450015068,0.031300000846385956
train,session_01,IDLE,features-v1,3,ax_half_mean_delta,120,3.429999674153805e-05,0.0004914664217008148,-0.0010819999733939767,-0.0002890000105253421,1.0000022939493647e-05,0.00038049998693168163,0.0012020000722259283
train,session_01,IDLE,features-v1,4,std_ay,120,0.0021527906385017557,0.0006208456878921314,0.0017039952799677849,0.0019643274135887623,0.002056536264717579,0.0021764413686469197,0.008004914969205856
train,session_01,IDLE,features-v1,5,std_az,120,0.003147776931291446,0.0004365725029071791,0.002517891116440296,0.0029485817067325115,0.003075035521760583,0.003281662066001445,0.007126874756067991
train,session_01,IDLE,features-v1,6,rms_acc_mag_deviation,120,0.0031479412301753957,0.0004410934369661676,0.0025139960926026106,0.002949513145722449,0.003073537489399314,0.003277886426076293,0.007183291483670473
train,session_01,IDLE,features-v1,7,mean_gz,120,-0.0046240999730798645,0.015002329012375817,-0.06458999961614609,-0.009798500221222639,-0.0030414998764172196,0.003485499939415604,0.029101001098752022
train,session_01,IDLE,features-v1,8,std_gz,120,0.04480269014214476,0.004571446656177712,0.03590400144457817,0.0417538620531559,0.044317157939076424,0.04703655652701855,0.06478410959243774
train,session_01,IDLE,features-v1,9,rms_gyro_mag,120,0.092466530824701,0.05117171253711286,0.06556035578250885,0.0736890509724617,0.07647863775491714,0.08012396655976772,0.27606749534606934
train,session_01,IDLE,features-v1,10,max_gyro_mag,120,0.18037916322549183,0.08460786726473021,0.126632422208786,0.14410929009318352,0.15364021807909012,0.17515653744339943,0.8250415921211243
train,session_01,SWIPE_LEFT,features-v1,1,std_ax,120,0.039607203922544916,0.019750393789476916,0.01755346730351448,0.027241382747888565,0.03490821644663811,0.043703293427824974,0.13013869524002075
train,session_01,SWIPE_LEFT,features-v1,2,max_abs_ax,120,0.17467750022187828,0.14231787581053,0.05829999968409538,0.09617500007152557,0.12595000118017197,0.20344999805092812,0.9745000004768372
train,session_01,SWIPE_LEFT,features-v1,3,ax_half_mean_delta,120,-0.024649633527102803,0.01840299398753504,-0.08744999766349792,-0.03506199922412634,-0.02317299973219633,-0.0120430001989007,0.017020000144839287
train,session_01,SWIPE_LEFT,features-v1,4,std_ay,120,0.011509046823872875,0.0072774355617848865,0.005035307724028826,0.007563313003629446,0.009322593919932842,0.012674318626523018,0.05411611124873161
train,session_01,SWIPE_LEFT,features-v1,5,std_az,120,0.011759166260405133,0.005744193096370746,0.005290339235216379,0.00824524904601276,0.009987961500883102,0.012123789638280869,0.037456661462783813
train,session_01,SWIPE_LEFT,features-v1,6,rms_acc_mag_deviation,120,0.012250003948186835,0.0075978456287198026,0.005308886989951134,0.008387105772271752,0.009856042452156544,0.012100686319172382,0.049161650240421295
train,session_01,SWIPE_LEFT,features-v1,7,mean_gz,120,0.5385633867854873,0.759648814341737,-1.3656489849090576,0.08614750392735004,0.49656251072883606,1.030364751815796,3.21793794631958
train,session_01,SWIPE_LEFT,features-v1,8,std_gz,120,1.3101986572146416,0.6148085260170207,0.2967294156551361,0.8023983985185623,1.1548712849617004,1.6051202714443207,2.9036173820495605
train,session_01,SWIPE_LEFT,features-v1,9,rms_gyro_mag,120,2.6542146682739256,1.3964161142622435,0.7940241694450378,1.6592494249343872,2.305738091468811,3.2092535495758057,9.905420303344727
train,session_01,SWIPE_LEFT,features-v1,10,max_gyro_mag,120,8.473151246706644,6.0323766202156595,2.2046451568603516,4.467039585113525,6.884915590286255,10.80055022239685,41.98504638671875
train,session_01,SWIPE_RIGHT,features-v1,1,std_ax,120,0.05380551141376297,0.026714997932928364,0.021127751097083092,0.0370534211397171,0.04584386944770813,0.06419996730983257,0.18113285303115845
train,session_01,SWIPE_RIGHT,features-v1,2,max_abs_ax,120,0.22346416742851336,0.17816395930303608,0.055799998342990875,0.11167500168085098,0.1517999991774559,0.24962500110268593,1.184999942779541
train,session_01,SWIPE_RIGHT,features-v1,3,ax_half_mean_delta,120,0.040805850094572334,0.0235850566603391,-0.007023999467492104,0.02232000045478344,0.04310999996960163,0.05253100115805864,0.14530199766159058
train,session_01,SWIPE_RIGHT,features-v1,4,std_ay,120,0.016440140599540125,0.010493763734213483,0.005201699212193489,0.010214990004897118,0.012563183903694153,0.0195306446403265,0.07633396983146667
train,session_01,SWIPE_RIGHT,features-v1,5,std_az,120,0.016974234379207094,0.011909450324256046,0.006260248366743326,0.009965629084035754,0.012332331854850054,0.019599396735429764,0.07375875860452652
train,session_01,SWIPE_RIGHT,features-v1,6,rms_acc_mag_deviation,120,0.01684585661472132,0.01134314656289208,0.006086070090532303,0.009838843019679189,0.01261296309530735,0.0196208031848073,0.06089618429541588
train,session_01,SWIPE_RIGHT,features-v1,7,mean_gz,120,-0.38498398846713827,0.7888304345222774,-3.039231061935425,-0.846070259809494,-0.348811998963356,0.1404157467186451,1.7022160291671753
train,session_01,SWIPE_RIGHT,features-v1,8,std_gz,120,1.682195983082056,1.0019710058864235,0.3559359014034271,1.0189893245697021,1.4022016525268555,1.9741760790348053,5.854203224182129
train,session_01,SWIPE_RIGHT,features-v1,9,rms_gyro_mag,120,3.1603977327545483,2.3919251018849423,0.8139716982841492,1.613499790430069,2.1613341569900513,4.109761476516724,14.58188533782959
train,session_01,SWIPE_RIGHT,features-v1,10,max_gyro_mag,120,12.65085989634196,14.917330962785847,2.189255475997925,3.8543267846107483,6.925419330596924,14.797230005264282,89.2784423828125
train,session_01,ROTATE_CW,features-v1,1,std_ax,120,0.039765657585424684,0.02809500937796719,0.008161247707903385,0.02281290153041482,0.03219929710030556,0.04622008465230465,0.17131873965263367
train,session_01,ROTATE_CW,features-v1,2,max_abs_ax,120,0.20002416536832848,0.22434784219184553,0.0333000011742115,0.09522499702870846,0.1356000006198883,0.19260000437498093,1.4112999439239502
train,session_01,ROTATE_CW,features-v1,3,ax_half_mean_delta,120,0.017200800020752163,0.01490540758827234,-0.014334000647068024,0.007344000157900155,0.01476799976080656,0.025597999338060617,0.060412000864744186
train,session_01,ROTATE_CW,features-v1,4,std_ay,120,0.019192660739645363,0.007730105592035288,0.005999384913593531,0.01328962272964418,0.01770336553454399,0.024562235921621323,0.04110260307788849
train,session_01,ROTATE_CW,features-v1,5,std_az,120,0.011592162901069968,0.005177195049351408,0.00452059181407094,0.00780860404483974,0.01024960307404399,0.013295276556164026,0.028877975419163704
train,session_01,ROTATE_CW,features-v1,6,rms_acc_mag_deviation,120,0.013421137126473089,0.010854556062521167,0.00452879024669528,0.007764826063066721,0.010522426571696997,0.013567578978836536,0.08197897672653198
train,session_01,ROTATE_CW,features-v1,7,mean_gz,120,-26.194381384054818,11.440947649503459,-51.76549530029297,-33.80515384674072,-25.532095909118652,-18.844616413116455,-5.124120235443115
train,session_01,ROTATE_CW,features-v1,8,std_gz,120,22.63563405474027,12.448801558173711,3.07570219039917,13.705127954483032,20.914165496826172,27.272050857543945,60.075870513916016
train,session_01,ROTATE_CW,features-v1,9,rms_gyro_mag,120,36.093027385075885,13.661847598306146,6.005369186401367,26.2052640914917,35.3317985534668,46.19294261932373,68.46642303466797
train,session_01,ROTATE_CW,features-v1,10,max_gyro_mag,120,60.86468087832133,27.518314652112245,9.92164421081543,42.80144214630127,58.40694046020508,75.38591766357422,169.73611450195312
train,session_01,SHAKE,features-v1,1,std_ax,120,0.19394288426265122,0.10546765766060044,0.038495685905218124,0.12340078689157963,0.1659741997718811,0.22408753633499146,0.4995245337486267
train,session_01,SHAKE,features-v1,2,max_abs_ax,120,0.5359183337539435,0.32026381573731183,0.131400004029274,0.3166999965906143,0.42875000834465027,0.6166999787092209,2.0757999420166016
train,session_01,SHAKE,features-v1,3,ax_half_mean_delta,120,0.006557049992018922,0.053648571683176605,-0.19727998971939087,-0.01718000043183565,0.0058449991047382355,0.038436499424278736,0.15312400460243225
