timestamp_ms,ax,ay,az,gx,gy,gz
24816,0.0080,0.0197,1.0038,0.0656,0.3490,0.0026
24826,-0.0014,0.0160,1.0040,0.0351,0.4711,-0.0585
24836,0.0016,0.0187,1.0021,0.0046,0.2574,-0.1043
24846,0.0018,0.0199,0.9948,-0.1023,-0.0479,0.0026
24856,0.0124,0.0165,1.0031,-0.0718,-0.2006,-0.0585
24866,0.0124,0.0160,0.9936,0.0198,0.0131,-0.0737
24876,-0.0023,0.0148,1.0050,0.0809,-0.0174,-0.0890
24886,0.0175,0.0138,0.9968,0.0351,-0.3075,-0.0585
24896,0.0077,0.0094,1.0023,-0.0565,-0.0327,-0.0737
24906,-0.0036,0.0129,0.9970,-0.0412,0.0131,-0.1348
24916,-0.0053,0.0124,0.9948,-0.0107,-0.3227,-0.1195
24926,0.0026,0.0134,0.9999,0.0046,-0.6434,-0.0432
24936,0.0107,0.0197,0.9997,-0.1328,-0.9640,0.3690
24946,0.0094,0.0214,0.9927,-0.1328,-0.9182,0.4301
24956,0.0038,0.0175,1.0057,-0.1786,-0.7655,0.2774
24966,0.0045,0.0180,1.0031,-0.0260,-0.5670,0.1705
24976,0.0033,0.0195,0.9951,-0.1481,-0.3533,-0.0737
24986,-0.0028,0.0097,0.9987,-0.2702,-0.3380,-0.1043
24996,0.0315,0.0170,1.0016,-0.1481,-0.9640,0.6896
25006,-0.0085,0.0138,0.9922,-0.2244,-1.2388,0.6591
25016,0.0082,0.0204,1.0048,-0.5450,-1.8189,0.7812
25026,0.0153,0.0336,0.9922,-0.6061,-2.6739,1.0102
25036,0.0178,0.0238,0.9951,-1.2168,-3.4373,0.6438
25046,0.0143,0.0151,0.9907,-1.5985,-4.4144,-0.1653
25056,-0.0114,0.0043,1.0122,-2.4382,-5.9258,-2.8371
25066,0.0492,0.0256,0.9997,-2.1786,-5.2082,-8.4707
25076,0.1056,0.0197,1.0026,-2.1023,-5.4983,-11.8753
25086,0.0999,-0.0074,1.0323,-2.0260,-4.2769,-13.8447
25096,0.0764,0.0319,0.9789,-1.4305,-1.7273,-16.1348
25106,0.0406,0.0421,0.9842,-1.3237,-0.1548,-18.8829
25116,0.0695,0.0370,0.9989,-1.5374,-0.0327,-21.2340
25126,0.0626,0.0370,1.0125,-1.8427,-0.3533,-23.9363
25136,0.0555,0.0238,1.0137,-2.1176,-0.7808,-26.3944
25146,0.0926,0.0380,0.9968,-1.9649,-0.8571,-29.0203
25156,0.0501,0.0192,0.9948,-2.3008,-0.5212,-32.9745
25166,0.0810,0.0268,0.9980,-2.3160,-0.3838,-36.4554
25176,0.0967,0.0221,1.0275,-2.5603,-0.3380,-40.0127
25186,0.0791,-0.0057,0.9922,-2.8046,-0.3685,-43.8142
25196,0.0864,-0.0059,1.0048,-2.9115,-0.7350,-47.1577
25206,0.0187,-0.0364,1.0033,-2.9115,-0.2617,-49.8905
25216,0.0222,-0.0347,1.0074,-2.6672,0.8070,-51.4173
25226,0.0474,0.0092,0.9907,-2.3924,1.6925,-52.6692
25236,0.0094,0.0019,0.9944,-2.8504,1.1582,-55.0356
25246,0.0830,0.0046,0.9798,-2.9725,0.4559,-57.7837
25256,0.0114,-0.0191,0.9975,-3.3389,0.1353,-61.1424
25266,0.0344,-0.0001,0.9987,-3.6443,-0.6892,-62.8676
25276,0.0065,-0.0254,1.0277,-3.8885,-0.1548,-64.1959
25286,0.0465,-0.0120,0.9878,-3.9496,-0.9792,-65.0203
25296,0.0369,-0.0106,1.0309,-3.8275,-0.8266,-66.5165
25306,0.0433,0.0087,0.9808,-3.2473,0.8986,-67.4325
25316,-0.0386,0.0199,0.9946,-3.2626,2.1200,-68.2875
25326,-0.0183,0.0248,0.9813,-3.5069,1.6009,-68.6844
25336,-0.0171,-0.0064,1.0239,-3.9038,0.8986,-69.7531
25346,-0.0033,0.0109,0.9876,-3.9802,-0.4296,-70.6997
25356,-0.0288,-0.0181,1.0074,-4.0412,-0.4144,-71.2951
25366,0.0180,0.0043,0.9963,-3.9802,-0.9792,-71.9669
25376,0.0136,0.0173,0.9721,-4.0565,-1.1014,-72.4554
25386,0.0060,0.0343,0.9825,-3.9038,-0.3533,-71.7837
25396,0.0094,0.0155,1.0159,-4.0412,-0.2617,-70.7150
25406,-0.0293,0.0177,1.0081,-3.5679,0.3948,-69.5699
25416,-0.0374,0.0282,0.9839,-3.1252,1.5093,-67.6768
25426,-0.0489,0.0212,0.9726,-3.3695,0.8070,-65.4936
25436,-0.0031,0.0077,1.0190,-3.3237,0.6849,-62.5165
25446,-0.0333,0.0197,1.0147,-3.2168,0.3490,-60.1959
25456,-0.0026,-0.0364,1.0048,-3.3847,-0.2464,-58.9745
25466,0.0116,-0.0135,0.9823,-3.2015,-0.0174,-57.5699
25476,-0.0193,-0.0047,1.0125,-3.0641,0.5017,-56.2417
25486,-0.0622,0.0063,0.9934,-2.9115,0.8376,-54.6997
25496,-0.0494,-0.0147,1.0132,-2.6672,0.2421,-52.2417
25506,-0.0821,-0.0259,1.0033,-2.6061,0.5322,-48.7913
25516,-0.0472,-0.0303,0.9716,-2.4992,0.4711,-44.1501
25526,-0.0791,-0.0562,0.9994,-2.4229,-0.3075,-40.7913
25536,-0.5068,-0.5357,1.1446,-2.2397,-0.0632,-36.3638
25546,0.0249,-0.0032,1.0657,-1.3389,0.1811,-30.0127
25556,-0.0198,-0.0108,1.0512,-1.1252,1.1582,-27.1730
25566,-0.0195,-0.0152,1.0016,-0.5298,2.0589,-24.6539
25576,-0.0649,-0.0091,0.9823,-0.5145,1.6315,-22.1043
25586,-0.0472,-0.0616,0.9772,-1.1252,-0.3991,-19.5241
25596,-0.0156,-0.0640,1.0234,-1.0336,-1.3609,-16.1501
25606,-0.0249,-0.0240,0.9646,-0.8656,-1.1624,-12.5165
25616,-0.0494,-0.0469,1.0031,-0.6977,-0.5823,-8.5165
25626,-0.0465,-0.0252,1.0081,-0.3618,-0.4449,-4.3791
25636,0.0232,-0.0025,0.9982,0.0351,-0.3991,-1.1272
25646,0.0153,-0.0008,0.9885,0.1267,0.2269,-0.1806
25656,0.0060,-0.0042,1.0038,0.3099,0.6238,0.2469
25666,0.0138,-0.0020,1.0048,0.3252,0.7460,0.4606
25676,0.0021,-0.0020,1.0018,0.3099,0.6849,0.4606
25686,-0.0092,-0.0247,1.0239,-0.2397,0.2269,0.4911
25696,0.0423,0.0163,0.9653,0.3099,-0.0785,0.3690
25706,-0.0357,-0.0296,1.0260,0.4473,1.1887,0.9492
25716,-0.0519,-0.0023,0.9796,0.9053,1.4482,2.3079
25726,-0.0970,-0.0333,1.0234,0.4321,0.8376,4.7507
25736,-0.1627,-0.0828,1.0183,0.4779,-0.3227,11.2392
25746,-0.1188,-0.0972,0.9835,0.9664,-0.4754,20.9797
25756,-0.0742,-0.0760,1.0067,0.8443,-1.9105,28.9339
25766,0.0141,-0.0391,0.9871,1.3634,-2.5212,35.3766
25776,-0.0060,-0.0330,0.9951,1.6840,-1.7731,39.7431
25786,-0.0168,-0.0071,1.0069,2.1115,-1.0708,42.9797
25796,0.0254,-0.0096,1.0294,2.5389,-0.9792,46.1705
25806,0.0016,-0.0113,0.9755,3.2107,0.0284,49.2850
