timestamp_ms,ax,ay,az,gx,gy,gz
54316,-0.0114,-0.0074,1.0152,0.1539,-0.7332,-2.2631
54326,-0.0485,0.0097,0.9827,0.3982,0.4882,-2.0799
54336,-0.0296,0.0126,0.9941,0.0928,0.2592,-1.7593
54346,-0.0068,0.0119,0.9997,-0.1362,-0.1225,-1.4998
54356,-0.0095,0.0126,0.9997,-0.1667,-0.3515,-1.2402
54366,-0.0063,0.0090,1.0023,-0.2736,-0.4737,-1.0723
54376,-0.0271,0.0158,0.9994,-0.2583,-0.0309,-0.8280
54386,-0.0097,0.0251,1.0006,-0.2278,-0.2294,-0.6295
54396,-0.0065,0.0226,1.0023,-0.1515,-0.2447,-0.5227
54406,-0.0114,0.0160,1.0035,-0.2125,-0.0156,-0.3700
54416,-0.0227,0.0219,0.9989,-0.3347,0.1981,-0.1868
54426,0.0057,0.0238,1.0023,-0.2889,0.2744,-0.3853
54436,-0.0409,0.0185,1.0081,-0.2583,0.5340,-0.3547
54446,-0.0347,0.0214,1.0048,-0.3805,0.3966,-0.1410
54456,-0.0433,0.0209,1.0050,-0.3194,0.1218,0.1796
54466,-0.0330,0.0190,1.0181,-0.3347,0.3508,0.7750
54476,-0.0644,0.0343,1.0130,-0.2278,0.6561,1.1262
54486,-0.1066,0.0317,1.0147,-0.3041,0.7935,1.5995
54496,-0.0924,0.0429,0.9934,-0.1209,0.7935,2.3934
54506,-0.0600,0.0519,1.0120,-0.0751,1.0378,3.2178
54516,-0.0467,0.0590,1.0006,0.0318,1.1294,3.6758
54526,-0.0833,0.0770,0.9910,0.2150,1.6943,3.9811
54536,-0.1125,0.0680,0.9944,0.0928,1.5416,4.4239
54546,-0.1017,0.0714,1.0125,0.0776,0.7630,5.0346
54556,-0.0512,0.0790,0.9898,0.3829,0.0454,5.7827
54566,-0.0644,0.0697,0.9856,0.1081,-0.6874,6.3170
54576,-0.0323,0.0731,1.0064,0.3066,-2.0920,7.0346
54586,0.0563,0.0880,0.9815,0.4592,-3.0691,7.2941
54596,0.0580,0.0946,1.0038,0.3524,-2.3057,7.3094
54606,0.0344,0.0705,1.0064,-0.1973,-1.2370,7.4621
54616,0.0646,0.0668,0.9999,-0.1667,-1.4813,7.6147
54626,0.1051,0.0338,1.0093,-0.0904,-1.4660,7.8743
54636,0.0977,0.0502,0.9878,0.2608,-0.5195,8.1796
54646,0.0989,0.0661,0.9839,0.4440,0.2286,8.5155
54656,0.1348,0.0641,0.9958,0.2150,-0.0615,8.5155
54666,0.1397,0.0812,0.9576,0.2608,0.3508,8.6834
54676,0.1478,0.0436,1.0089,0.1997,0.4271,8.7292
54686,0.1752,0.0085,1.0171,0.2455,0.0760,8.8972
54696,0.1914,0.1007,0.9714,0.7035,0.5187,8.7445
54706,0.2147,0.0597,1.0335,0.1997,1.2057,7.5384
54716,0.1639,0.0583,0.9861,0.0928,1.1599,6.0575
54726,0.1742,0.0026,1.0096,-0.2431,0.3966,4.7750
54736,0.1669,-0.0150,0.9907,-0.1515,0.2592,3.8743
54746,0.1478,-0.0120,0.9900,0.3066,0.1981,3.1567
54756,0.1497,-0.0254,0.9861,0.4592,-0.2294,2.1491
54766,0.1742,-0.0057,0.9791,0.9020,-1.6034,0.8208
54776,0.2282,-0.0638,1.0444,0.0012,-1.9240,-1.3624
54786,0.2343,-0.0684,1.0089,0.0165,-0.2294,-3.1792
54796,0.2294,-0.0711,0.9803,0.0928,1.0531,-4.7364
54806,0.1436,-0.0901,0.9970,0.0012,1.4958,-6.4769
54816,0.1475,-0.1275,1.0168,-0.1973,0.5492,-7.6372
54826,0.1031,-0.1301,1.0144,-0.0446,-0.0156,-8.2326
54836,0.0425,-0.1199,1.0079,0.0165,1.1141,-8.7059
54846,0.0396,-0.1475,1.0018,-0.0140,0.2744,-9.2555
