timestamp_ms,ax,ay,az,gx,gy,gz
52726,0.0013,0.0153,0.9968,-0.0086,0.0931,0.0459
52736,0.0038,0.0107,0.9965,-0.0850,0.0931,0.0764
52746,-0.0006,0.0146,1.0048,-0.1155,0.0168,0.0153
52756,0.0011,0.0180,0.9888,0.0677,-0.0443,0.0459
52766,0.0038,0.0155,1.0055,-0.0086,-0.0443,0.0459
52776,0.0004,0.0153,0.9985,-0.0239,-0.0137,0.0001
52786,0.0028,0.0141,1.0011,0.0524,0.0168,-0.0152
52796,0.0028,0.0187,0.9987,0.1135,-0.0290,0.0001
52806,0.0038,0.0190,1.0002,0.0219,-0.0137,-0.0152
52816,0.0045,0.0175,0.9982,0.0524,-0.1206,-0.0152
52826,0.0038,0.0197,0.9992,0.0219,-0.1664,0.0001
52836,0.0045,0.0224,0.9980,0.0830,-0.1817,-0.0457
52846,0.0089,0.0185,0.9987,0.0677,-0.1511,-0.0305
52856,0.0016,0.0182,0.9953,0.1135,0.0626,0.0153
52866,0.0065,0.0170,0.9992,0.0219,-0.0595,0.0153
52876,0.0062,0.0180,1.0004,0.0066,-0.1511,0.0306
52886,0.0057,0.0170,0.9960,0.0372,-0.1206,0.0611
52896,0.0040,0.0158,0.9982,0.0830,0.0473,0.0764
52906,0.0008,0.0126,1.0035,0.0830,0.0015,0.0764
52916,0.0035,0.0175,0.9975,0.0066,0.0015,0.0917
52926,0.0001,0.0124,1.0016,-0.0392,0.0015,0.0153
52936,0.0050,0.0170,1.0026,-0.0239,-0.0595,0.0459
52946,0.0070,0.0165,0.9973,-0.0697,-0.0137,-0.0305
52956,-0.0001,0.0168,0.9951,0.0066,0.0626,-0.0305
52966,-0.0001,0.0138,0.9970,0.0677,-0.0748,0.0001
52976,0.0072,0.0148,0.9992,0.0677,-0.2275,-0.0457
52986,0.0050,0.0153,1.0026,-0.0239,-0.1817,-0.0915
52996,0.0011,0.0175,1.0060,0.0066,-0.2122,-0.0305
53006,0.0067,0.0192,0.9944,-0.0392,-0.2275,-0.0610
53016,0.0055,0.0158,0.9975,-0.0697,-0.1511,0.0459
53026,0.0165,0.0202,1.0045,0.0219,-0.1359,-0.1221
53036,0.0168,0.0151,0.9832,-0.0697,-0.2275,-0.2289
53046,-0.0092,0.0238,0.9883,-0.1002,-1.7542,-0.0915
53056,0.0197,0.0046,1.0299,-0.1460,-2.2885,-0.1068
53066,0.0180,0.0043,1.0108,0.0830,-1.2198,-0.1221
53076,0.0195,0.0016,0.9958,0.3578,0.1542,0.0611
53086,0.0057,0.0146,0.9813,0.3120,0.0321,0.3207
53096,0.0340,0.0068,1.0038,0.0219,-0.6092,0.4886
