timestamp_ms,ax,ay,az,gx,gy,gz
62116,0.0035,0.0121,0.9963,0.0492,-0.0889,-0.0344
62126,-0.0016,0.0155,1.0031,-0.0424,-0.1042,-0.0192
62136,0.0062,0.0155,0.9994,-0.0271,-0.2569,-0.0650
62146,0.0092,0.0173,0.9987,0.0034,-0.2874,-0.0955
62156,0.0050,0.0185,0.9987,0.0187,-0.3637,-0.0802
62166,0.0016,0.0129,1.0055,-0.0424,-0.4401,-0.0039
62176,0.0038,0.0165,0.9980,-0.1034,-0.5622,-0.0497
62186,0.0178,0.0180,1.0031,-0.0576,-0.6385,-0.1108
62196,0.0013,0.0219,0.9977,-0.1645,-0.1042,-0.2176
62206,-0.0129,0.0231,0.9980,-0.1950,0.3538,-0.3092
62216,0.0038,0.0173,0.9997,-0.1645,0.0790,-0.2176
62226,0.0133,0.0070,0.9944,-0.2103,-0.3485,-0.0955
62236,0.0163,0.0131,0.9907,-0.1340,-0.3332,-0.1413
62246,0.0018,0.0087,1.0016,0.0034,0.1859,-0.0650
62256,-0.0046,0.0153,0.9997,0.1256,0.1248,-0.1108
62266,0.0060,0.0131,1.0038,0.0340,-0.0889,-0.0039
62276,0.0148,0.0131,0.9924,-0.0118,-0.1347,-0.0650
62286,0.0084,0.0155,0.9975,-0.0729,0.0485,-0.1108
62296,0.0111,0.0141,0.9944,0.0187,0.1706,-0.1108
62306,0.0053,0.0134,1.0009,0.0340,0.3233,-0.0955
62316,-0.1174,0.0173,0.9593,0.0950,0.6744,-0.2787
62326,-0.1125,0.0094,1.0246,0.4309,1.1782,0.3320
62336,-0.0227,0.0214,1.0089,0.3240,-0.0584,0.4389
62346,-0.0396,0.0195,0.9968,0.2782,-0.5622,0.4541
62356,-0.0063,0.0170,0.9847,0.1103,-0.9897,0.5457
62366,-0.0038,0.0131,1.0028,0.1866,-0.3485,0.6373
62376,-0.0153,0.0165,1.0178,0.2782,0.2622,0.5610
62386,-0.0139,0.0221,1.0006,0.0340,0.5065,0.4236
62396,-0.0504,0.0146,1.0009,-0.0576,0.3844,0.1488
62406,-0.0269,0.0090,1.0110,-0.1340,0.3691,0.1335
62416,-0.0254,0.0143,0.9999,-0.0424,0.5218,0.3167
62426,-0.0163,0.0124,1.0002,-0.0271,0.6897,0.3625
62436,-0.0379,0.0077,0.9989,-0.0882,0.7355,0.5763
62446,-0.0519,0.0119,1.0040,-0.0882,0.5676,0.8663
62456,-0.0409,0.0270,1.0040,0.0492,0.4302,1.0343
62466,-0.0852,0.0221,1.0270,-0.1340,0.1401,0.8053
62476,-0.0833,0.0265,0.9914,-0.3477,-0.6691,0.5763
62486,0.0190,0.0197,1.0014,-0.4088,-2.4248,0.0877
62496,0.0290,0.0129,0.9989,-0.0271,-1.5546,-0.1566
62506,0.0170,0.0185,0.9939,0.0492,-0.9286,-0.1871
62516,-0.0023,0.0165,0.9985,0.0798,-0.5469,-0.2787
62526,-0.0023,0.0180,0.9910,-0.0882,-0.8065,-0.2787
62536,0.0092,0.0097,0.9898,-0.2256,-0.5775,-0.2176
62546,-0.0097,0.0195,0.9958,-0.1798,-0.6080,-0.1260
62556,-0.0315,0.0075,1.0060,-0.1645,-0.6538,-0.0955
62566,0.0094,-0.0025,1.0069,-0.1492,-0.8065,0.2404
62576,-0.0058,0.0060,1.0018,-0.0576,-0.3790,0.4389
62586,-0.0080,0.0136,1.0035,-0.1340,-0.2416,0.5610
62596,0.0217,0.0053,1.0038,-0.0882,-0.6385,0.4541
62606,0.0170,0.0173,0.9929,-0.0271,-0.4859,0.4389
62616,0.0033,0.0155,1.0072,0.0340,-0.0737,0.3015
62626,-0.0318,0.0173,1.0018,0.2172,-0.0737,0.3015
62636,-0.0374,0.0207,1.0050,-0.0271,-0.3637,0.3625
62646,0.0092,0.0395,0.9813,0.0034,-0.5469,0.4999
62656,0.0070,0.0243,1.0031,0.0492,-0.6080,0.2709
62666,0.0227,0.0236,1.0043,-0.0271,-0.9897,0.0419
62676,0.0143,0.0112,1.0084,-0.2103,-0.8370,-0.2787
62686,0.0156,0.0190,1.0093,-0.1187,-0.1653,-0.4161
62696,-0.0038,0.0085,1.0098,-0.0576,0.4912,-0.4619
62706,0.0178,0.0268,0.9919,-0.0271,0.0179,-0.4924
62716,0.0305,0.0124,0.9968,-0.1798,-0.2416,-0.7062
62726,0.0143,0.0185,0.9973,-0.0729,0.2011,-0.7062
62736,0.0165,0.0146,1.0038,0.0034,0.4302,-0.5535
62746,0.0080,0.0170,1.0009,-0.0424,0.5828,-0.4314
62756,-0.0068,0.0238,0.9922,0.0492,0.5370,-0.3703
62766,0.0303,0.0236,0.9832,0.1256,0.3233,-0.3398
62776,0.0011,0.0090,1.0045,0.2019,0.3996,-0.2940
62786,0.0239,0.0116,0.9987,0.2172,0.4760,-0.1413
62796,0.0310,0.0219,1.0021,0.2324,0.6897,-0.1108
62806,0.0516,0.0134,0.9960,0.1866,0.5370,0.0572
62816,0.0227,0.0143,0.9973,0.2324,0.6439,0.3625
62826,0.0065,0.0041,1.0018,0.2172,0.9950,0.7442
62836,-0.0019,0.0112,0.9963,0.3088,1.0866,1.0648
62846,-0.0168,0.0063,0.9970,0.2935,1.1324,1.5686
62856,-0.0114,0.0102,1.0064,0.3546,0.7966,1.9045
62866,-0.0330,0.0141,0.9975,0.3393,0.9034,2.2098
62876,-0.0065,0.0168,1.0011,0.2782,0.4912,2.4541
62886,0.0013,0.0241,0.9970,0.2935,0.4302,2.6373
62896,-0.0058,0.0182,0.9982,0.3393,0.3538,2.6526
62906,-0.0014,0.0263,0.9910,0.2324,0.1095,2.7442
62916,0.0151,0.0246,0.9973,0.1866,0.0332,2.8205
62926,0.0261,0.0185,1.0050,0.0645,-0.3332,2.7289
62936,0.0160,0.0263,0.9890,0.2782,0.2469,2.8053
62946,0.0210,0.0170,1.0004,0.1866,0.2469,2.8205
62956,0.0256,0.0190,1.0091,0.2477,0.3233,3.0190
62966,-0.0060,0.0119,1.0018,0.3393,0.3996,3.0037
62976,0.0357,0.0043,1.0009,0.0950,-0.5317,3.1106
62986,0.1460,-0.0042,0.9951,-0.2256,-2.1500,3.1717
62996,0.1630,-0.0137,1.0084,-0.2408,-1.9210,3.0495
63006,0.0808,0.0016,0.9970,0.1561,-0.1347,2.7595
63016,0.0278,0.0090,1.0040,0.3698,0.3385,2.3167
63026,0.0187,0.0058,0.9883,0.2935,0.1401,2.1182
63036,-0.0028,0.0080,0.9890,0.2172,-0.0584,2.0419
63046,-0.0019,0.0087,1.0004,0.2324,-0.2874,2.1640
63056,0.0261,0.0192,0.9941,0.2477,-0.6691,2.0877
63066,0.0121,0.0099,0.9885,0.1561,-0.4706,1.7824
63076,0.0293,0.0287,0.9994,0.2019,-0.5775,1.5076
63086,0.0340,0.0153,1.0009,0.1561,-0.3485,1.3702
63096,0.0212,0.0292,0.9982,0.0187,-0.1347,1.1106
63106,0.0158,0.0258,0.9980,0.0492,-0.0279,0.9274
