timestamp_ms,ax,ay,az,gx,gy,gz
55576,0.0067,0.0190,1.0028,-0.0637,-0.3868,0.0143
55586,-0.0016,0.0195,1.0018,-0.0789,-0.4784,0.0906
55596,0.0202,0.0077,0.9968,-0.1095,-0.6005,-0.2758
55606,-0.0036,0.0251,0.9873,-0.2011,-0.8906,-1.6956
55616,0.0072,0.0129,1.0040,-0.2316,-0.7837,-1.9552
55626,0.0001,0.0219,0.9989,-0.2774,-0.6463,-1.9857
55636,0.0006,0.0185,0.9931,-0.3079,-0.7990,-1.7109
55646,0.0141,0.0153,1.0018,-0.3537,-0.8143,-1.7262
55656,0.0158,0.0212,0.9980,-0.2163,-0.7074,-1.8483
55666,0.0344,0.0099,0.9791,-0.2011,-0.6158,-1.9399
55676,0.0506,0.0190,1.0159,-0.1400,-0.3105,-3.0850
55686,0.0183,0.0246,0.9975,-0.1858,0.3460,-4.6727
55696,0.0212,0.0216,0.9965,-0.3385,0.0865,-5.7262
55706,0.0207,0.0216,1.0055,-0.4453,-0.0204,-6.7185
55716,0.0234,0.0151,0.9987,-0.5369,0.0560,-7.7262
55726,0.0077,0.0163,1.0081,-0.4911,0.1170,-8.6727
55736,0.0102,0.0258,1.0028,-0.5675,-0.0967,-9.2987
55746,0.0065,0.0314,0.9956,-0.6285,-0.3868,-9.9857
55756,0.0153,0.0256,0.9997,-0.6744,-0.3563,-10.3521
55766,0.0094,0.0182,1.0018,-0.6591,-0.3105,-10.5506
55776,0.0229,0.0136,1.0006,-0.6744,-0.4937,-10.9934
55786,0.0143,0.0204,0.9992,-0.7507,-0.3715,-11.6651
55796,0.0168,0.0231,0.9994,-0.7049,-0.3715,-12.6727
55806,0.0239,0.0190,0.9968,-0.7507,-0.3563,-13.6804
55816,0.0153,0.0251,0.9960,-0.7965,-0.4784,-14.8102
55826,0.0119,0.0190,0.9944,-0.9492,-0.4937,-15.7873
55836,0.0050,0.0177,0.9975,-0.9339,-0.4479,-16.3369
55846,0.0087,0.0151,0.9970,-1.0713,-0.4326,-16.4590
55856,0.0080,0.0165,1.0009,-0.9797,-0.4479,-16.6422
55866,-0.0060,0.0092,0.9946,-1.1171,-0.4326,-16.6880
55876,0.0126,0.0141,1.0060,-1.0255,-0.4784,-16.8102
55886,0.0202,0.0131,1.0021,-1.0255,-0.4937,-17.2071
55896,0.0222,0.0173,1.0004,-1.0255,-0.5853,-17.8483
55906,0.0133,0.0155,0.9982,-0.9034,-0.4479,-18.4132
55916,-0.0028,0.0138,0.9956,-0.8270,-0.2036,-18.6727
55926,0.0048,0.0207,0.9987,-0.6896,0.0865,-18.4590
55936,-0.0004,0.0229,0.9939,-0.6591,0.1476,-17.7262
55946,0.0070,0.0219,1.0043,-0.6744,0.0865,-16.9934
55956,0.0035,0.0148,0.9989,-0.7812,-0.0204,-16.7949
55966,0.0099,0.0197,1.0021,-0.7965,0.0102,-16.8560
55976,0.0035,0.0136,0.9968,-0.9186,-0.1578,-17.2224
55986,0.0141,0.0155,0.9939,-0.9034,-0.2647,-17.8178
55996,0.0151,0.0090,0.9960,-0.9034,-0.1883,-18.6117
56006,0.0092,0.0241,0.9970,-0.8270,-0.0662,-19.1460
56016,0.0048,0.0209,0.9989,-0.8576,0.0712,-19.3598
56026,0.0013,0.0146,0.9999,-0.9186,0.0102,-19.1613
56036,-0.0026,0.0136,0.9982,-0.9644,-0.2647,-18.7644
56046,0.0102,0.0175,0.9953,-0.9492,-0.3257,-18.2605
56056,0.0153,0.0099,1.0072,-0.9950,-0.2647,-17.8636
56066,-0.0073,0.0031,0.9982,-0.9644,-0.1731,-17.5277
56076,0.0011,0.0092,0.9987,-0.9339,-0.0662,-16.5964
56086,0.0004,0.0055,0.9987,-0.8728,-0.2036,-16.1231
56096,0.0219,0.0087,1.0072,-0.9339,-0.3563,-16.0926
56106,0.0092,0.0065,0.9999,-0.8576,-0.3868,-16.2758
56116,-0.0001,0.0016,1.0016,-0.8576,-0.4784,-16.8712
56126,0.0224,-0.0013,0.9977,-0.8881,-0.4784,-17.2529
56136,0.0045,0.0029,1.0016,-0.7660,-0.3105,-17.6346
56146,-0.0004,-0.0025,1.0079,-0.8576,-0.3105,-17.9399
56156,0.0136,0.0043,0.9924,-0.8728,-0.4173,-18.2758
56166,0.0075,0.0087,0.9994,-0.9339,-0.4173,-18.5964
56176,0.0077,0.0009,1.0045,-0.9797,-0.3715,-18.8254
56186,0.0067,0.0075,1.0023,-0.9797,-0.3257,-18.8560
56196,0.0006,0.0070,0.9973,-0.9797,-0.4631,-18.8254
56206,0.0050,0.0058,0.9982,-1.0408,-0.4173,-18.5353
56216,0.0023,0.0019,1.0002,-1.0866,-0.4631,-18.5048
56226,0.0156,0.0029,0.9936,-1.1171,-0.6463,-18.7033
56236,0.0322,0.0011,1.0021,-1.2087,-0.6921,-19.4056
56246,0.0325,0.0019,0.9997,-1.3156,-0.5853,-20.8102
56256,0.0175,0.0004,0.9987,-1.2850,-0.4173,-22.2453
56266,0.0018,0.0019,0.9936,-1.2392,-0.1731,-23.2834
56276,-0.0153,0.0004,0.9977,-1.1782,-0.1425,-23.6957
56286,-0.0161,0.0102,0.9992,-1.1629,-0.2036,-23.5430
56296,-0.0048,0.0138,0.9973,-1.1324,-0.2952,-23.1002
56306,0.0143,0.0202,1.0035,-1.2087,-0.1883,-22.5811
56316,0.0008,0.0112,0.9997,-1.1629,-0.0967,-22.0315
56326,0.0121,0.0175,0.9980,-1.1782,-0.0967,-21.7720
56336,0.0178,0.0175,1.0011,-1.1171,-0.0356,-22.0621
56346,0.0099,0.0051,1.0021,-1.1934,0.1018,-22.4895
56356,0.0055,0.0051,1.0057,-1.2240,-0.0815,-22.9018
56366,0.0116,0.0055,1.0069,-1.3156,-0.3563,-23.2682
56376,-0.0092,0.0097,0.9912,-1.1782,-0.2647,-23.2682
56386,0.0084,0.0043,0.9934,-1.3156,-0.2189,-23.0697
56396,0.0156,0.0060,0.9941,-1.3308,-0.1273,-22.6117
56406,0.0028,0.0102,1.0023,-1.2392,-0.0815,-22.0926
56416,-0.0046,0.0136,0.9907,-1.2087,-0.4326,-21.2682
56426,-0.0048,0.0051,0.9968,-1.2087,-0.4021,-20.1995
56436,0.0094,0.0024,1.0093,-1.2087,-0.5853,-19.0544
56446,0.0045,0.0031,1.0038,-1.1476,-0.7227,-18.2453
56456,0.0038,0.0031,1.0057,-1.1171,-0.7837,-17.5735
56466,0.0092,0.0092,0.9939,-1.0102,-0.6311,-16.6422
56476,0.0070,0.0148,0.9975,-0.9492,-0.5700,-15.7567
56486,-0.0077,0.0165,0.9992,-0.8423,-0.3563,-14.5506
56496,-0.0055,0.0151,1.0009,-0.7354,-0.2952,-13.3445
56506,-0.0053,0.0190,0.9960,-0.6896,-0.1425,-12.3827
56516,0.0026,0.0192,1.0089,-0.6744,-0.1120,-11.4666
