epoch,accuracy,loss,val_accuracy,val_loss
1,0.4983333349227905,1.4386699199676514,0.8550000190734863,1.229211449623108
2,0.7350000143051147,1.072405219078064,0.8899999856948853,0.8266778588294983
3,0.7900000214576721,0.7659228444099426,0.9399999976158142,0.5182268023490906
4,0.8550000190734863,0.5363999605178833,0.9750000238418579,0.326552152633667
5,0.8899999856948853,0.39409491419792175,0.9649999737739563,0.2179032564163208
6,0.9100000262260437,0.30762651562690735,0.9599999785423279,0.16914939880371094
7,0.9266666769981384,0.24165217578411102,0.9700000286102295,0.1404871791601181
8,0.9316666722297668,0.2066885232925415,0.9800000190734863,0.12176541984081268
9,0.9433333277702332,0.2047329843044281,0.9800000190734863,0.11594105511903763
10,0.9449999928474426,0.18060508370399475,0.9850000143051147,0.11151037365198135
11,0.9516666531562805,0.1679588258266449,0.9850000143051147,0.1074644923210144
12,0.9566666483879089,0.14416974782943726,0.9800000190734863,0.10252788662910461
13,0.9599999785423279,0.1338614523410797,0.9800000190734863,0.10159613937139511
14,0.9616666436195374,0.12313054502010345,0.9800000190734863,0.10341189056634903
15,0.9616666436195374,0.12451047450304031,0.9850000143051147,0.09973429888486862
16,0.9583333134651184,0.13434407114982605,0.9800000190734863,0.10063374787569046
17,0.9583333134651184,0.11290445923805237,0.9850000143051147,0.1004849523305893
18,0.9633333086967468,0.11790837347507477,0.9800000190734863,0.09811023622751236
19,0.9666666388511658,0.10022158175706863,0.9850000143051147,0.09804674237966537
20,0.9633333086967468,0.10688289999961853,0.9850000143051147,0.09752678871154785
21,0.9683333039283752,0.10057144612073898,0.9850000143051147,0.09482741355895996
22,0.9666666388511658,0.09181083738803864,0.9850000143051147,0.09267354011535645
23,0.971666693687439,0.0903739333152771,0.9850000143051147,0.09020763635635376
24,0.9766666889190674,0.0832698792219162,0.9850000143051147,0.08737871795892715
25,0.9733333587646484,0.08150504529476166,0.9850000143051147,0.08799310773611069
26,0.9750000238418579,0.08438719063997269,0.9850000143051147,0.08567695319652557
27,0.9783333539962769,0.07373721152544022,0.9850000143051147,0.08672403544187546
28,0.9800000190734863,0.06880299001932144,0.9850000143051147,0.08620783686637878
29,0.9783333539962769,0.07266741245985031,0.9850000143051147,0.08621461689472198
30,0.9750000238418579,0.0688784271478653,0.9850000143051147,0.08373487740755081
31,0.9816666841506958,0.08775558322668076,0.9850000143051147,0.08878686279058456
32,0.9750000238418579,0.0811624526977539,0.9850000143051147,0.08498693257570267
33,0.9766666889190674,0.07176239043474197,0.9850000143051147,0.08276207000017166
34,0.9833333492279053,0.05894157290458679,0.9850000143051147,0.08362245559692383
35,0.9850000143051147,0.05745011195540428,0.9850000143051147,0.08365258574485779
36,0.9800000190734863,0.06099534407258034,0.9850000143051147,0.08500576764345169
37,0.9750000238418579,0.06491617858409882,0.9850000143051147,0.08482836931943893
38,0.9783333539962769,0.063555046916008,0.9850000143051147,0.086392842233181
39,0.9833333492279053,0.06321228295564651,0.9850000143051147,0.08389313519001007
40,0.9816666841506958,0.05320782586932182,0.9850000143051147,0.08380543440580368
41,0.9833333492279053,0.05401206389069557,0.9850000143051147,0.08623995631933212
42,0.9850000143051147,0.05701299011707306,0.9850000143051147,0.08523662388324738
43,0.9766666889190674,0.05669432878494263,0.9850000143051147,0.08381949365139008
44,0.9783333539962769,0.06469747424125671,0.9850000143051147,0.07936763018369675
45,0.9850000143051147,0.045293621718883514,0.9850000143051147,0.07502565532922745
46,0.9850000143051147,0.04845044016838074,0.9850000143051147,0.07556146383285522
47,0.9816666841506958,0.04872073978185654,0.9850000143051147,0.07865060120820999
48,0.9816666841506958,0.047270070761442184,0.9850000143051147,0.07917943596839905
49,0.9816666841506958,0.04824959859251976,0.9850000143051147,0.07894345372915268
50,0.9900000095367432,0.044806696474552155,0.9850000143051147,0.08009888976812363
51,0.9800000190734863,0.050525303930044174,0.9850000143051147,0.08449244499206543
52,0.9866666793823242,0.049295246601104736,0.9850000143051147,0.07959673553705215
53,0.9850000143051147,0.05204177275300026,0.9800000190734863,0.08648581802845001
54,0.9883333444595337,0.04471931234002113,0.9850000143051147,0.07667972892522812
55,0.9816666841506958,0.04846610128879547,0.9850000143051147,0.07750246673822403
56,0.9816666841506958,0.04889393225312233,0.9850000143051147,0.07827918231487274
57,0.9800000190734863,0.05159687250852585,0.9800000190734863,0.08030393719673157
58,0.9850000143051147,0.04421653971076012,0.9850000143051147,0.08191826194524765
59,0.9900000095367432,0.04165253788232803,0.9850000143051147,0.08150835335254669
60,0.9850000143051147,0.04366079345345497,0.9850000143051147,0.08275531977415085
61,0.9883333444595337,0.0380140021443367,0.9850000143051147,0.08255834877490997
62,0.9933333396911621,0.036763448268175125,0.9850000143051147,0.08597219735383987
63,0.9883333444595337,0.041007012128829956,0.9800000190734863,0.08538392931222916
64,0.9850000143051147,0.039506200700998306,0.9850000143051147,0.08555644005537033
65,0.9850000143051147,0.03947540745139122,0.9800000190734863,0.09291106462478638
