epoch,accuracy,loss,val_accuracy,val_loss
1,0.7116666436195374,0.9273923635482788,0.9800000190734863,0.4809514582157135
2,0.9850000143051147,0.3653406798839569,0.9850000143051147,0.23101022839546204
3,0.9833333492279053,0.17555876076221466,0.9850000143051147,0.13718914985656738
4,0.9850000143051147,0.09633202105760574,0.9850000143051147,0.10855050384998322
5,0.9866666793823242,0.06954782456159592,0.9850000143051147,0.10339581221342087
6,0.9866666793823242,0.05928616225719452,0.9850000143051147,0.10175265371799469
7,0.9866666793823242,0.05378899350762367,0.9850000143051147,0.10069813579320908
8,0.9866666793823242,0.0501181036233902,0.9850000143051147,0.100071981549263
9,0.9866666793823242,0.047624047845602036,0.9850000143051147,0.09933097660541534
10,0.9866666793823242,0.04565683379769325,0.9850000143051147,0.09877432882785797
11,0.9866666793823242,0.044042445719242096,0.9850000143051147,0.09804585576057434
12,0.9866666793823242,0.04271066188812256,0.9850000143051147,0.09757432341575623
13,0.9866666793823242,0.04156418889760971,0.9850000143051147,0.09764646738767624
14,0.9866666793823242,0.040600258857011795,0.9850000143051147,0.09748868644237518
15,0.9866666793823242,0.039748042821884155,0.9850000143051147,0.09762828052043915
16,0.9866666793823242,0.03895380347967148,0.9850000143051147,0.09781160205602646
17,0.9866666793823242,0.03832242637872696,0.9850000143051147,0.09734365344047546
18,0.9866666793823242,0.03768518567085266,0.9850000143051147,0.09756550937891006
19,0.9883333444595337,0.03717565909028053,0.9850000143051147,0.09826445579528809
20,0.9883333444595337,0.03667575493454933,0.9850000143051147,0.09833359718322754
21,0.9900000095367432,0.03620224818587303,0.9800000190734863,0.0989016741514206
22,0.9900000095367432,0.03584236279129982,0.9800000190734863,0.0995289608836174
23,0.9900000095367432,0.03544279560446739,0.9800000190734863,0.09985964745283127
24,0.9900000095367432,0.035093288868665695,0.9800000190734863,0.10044890642166138
25,0.9900000095367432,0.03477213531732559,0.9800000190734863,0.10135381668806076
26,0.9900000095367432,0.034534674137830734,0.9800000190734863,0.10202572494745255
27,0.9900000095367432,0.034215375781059265,0.9800000190734863,0.10262215882539749
28,0.9900000095367432,0.03394470363855362,0.9800000190734863,0.10351034998893738
29,0.9900000095367432,0.03376413509249687,0.9800000190734863,0.10377073287963867
30,0.9900000095367432,0.03344543278217316,0.9800000190734863,0.10528826713562012
31,0.9900000095367432,0.0333230122923851,0.9800000190734863,0.10613593459129333
32,0.9900000095367432,0.03305651247501373,0.9800000190734863,0.10596906393766403
33,0.9900000095367432,0.03282180801033974,0.9800000190734863,0.10748756676912308
34,0.9916666746139526,0.03274795413017273,0.9800000190734863,0.10800311714410782
35,0.9916666746139526,0.03238886222243309,0.9800000190734863,0.10899478942155838
36,0.9916666746139526,0.03232705220580101,0.9800000190734863,0.10888082534074783
37,0.9916666746139526,0.03210904449224472,0.9800000190734863,0.1093403697013855
